CODE,NAME,REGION,DISTRICT,WARD,OWNERSHIP,LONGITUDE,LATITUDE,PASS_RATE,CHANGE_PREVIOUS_YEAR_PASS_RATE,AVG_GPA,CHANGE_PREVIOUS_YEAR_GPA,RANK,YEAR_OF_RESULT,MORE_THAN_40,NATIONAL_RANK_ALL,REGIONAL_RANK_ALL,DISTRICT_RANK_ALL,PUPIL_TEACHER_RATIO
S4786,NKANGAMO SECONDARY SCHOOL,MBEYA,MBOZI,NKANGAMO,GOVERNMENT,32.90533526,-8.95338483,63.64,,1.225,-3.9786,1139,2014,NO,,,,
S4787,OASIS SECONDARY SCHOOL,SHINYANGA,KAHAMA TOWNSHIP AUTHORITY,,,32.60071721,-3.8494342,89.47,,1.6207,-2.1087,384,2014,NO,,,,
S4788,SINDENI SECONDARY SCHOOL,TANGA,HANDENI TOWNSHIP AUTHORITY,SINDENI,GOVERNMENT,38.2259246,-5.351295,17.65,,0.6685,-4.781,2049,2014,NO,,,,
S4789,KIVA SECONDARY SCHOOL,TANGA,HANDENI TOWNSHIP AUTHORITY,KIVA,GOVERNMENT,38.1102856,-5.4892886,72.73,,1.0058,-4.3133,1646,2014,NO,,,,
S4790,KANG'ATA SECONDARY SCHOOL,TANGA,HANDENI TOWNSHIP AUTHORITY,KANG'ATA,GOVERNMENT,38.29928527,-5.562899573,18.18,,0.6071,-4.3677,2066,2014,NO,,,,
S4791,MSAJE SECONDARY SCHOOL,TANGA,HANDENI TOWNSHIP AUTHORITY,KANG'ATA,GOVERNMENT,37.9588647,-5.5718871,45,,1.1278,-4.1682,1370,2014,NO,,,,
S4792,KONJE SECONDARY SCHOOL,TANGA,HANDENI TOWNSHIP AUTHORITY,KONJE,GOVERNMENT,38.114525,-5.408746,100,,1.6149,-3.8763,393,2014,NO,,,,
S4793,KOMSANGA SECONDARY SCHOOL,TANGA,HANDENI TOWNSHIP AUTHORITY,MGAMBO,GOVERNMENT,38.29928527,-5.562899573,100,,2.4375,-3.0379,91,2014,NO,,,,
S4800,PANGAMBILI SECONDARY SCHOOL,TANGA,HANDENI TOWNSHIP AUTHORITY,KOMKONGA,GOVERNMENT,38.29928527,-5.562899573,64.29,,1.0391,-4.0204,1577,2014,NO,,,,
S4804,UNBERKANT SECONDARY SCHOOL ,RUVUMA,MBINGA,MTIPWILI,GOVERNMENT,34.9879625,-10.77202926,70,,0.9531,-4.5082,1770,2014,NO,,,,
